"geoid","datawrapper_id","geography","name","short_name","latitude","longitude","population","median_hh_income","poverty_rate_total","poverty_rate_deep","poverty_rate_notdeep","snap_rate_total","snap_rate_children","housing_owner_occupied","educ_hs_plus","educ_ba_plus","employment_rate_civilian","race_white","race_black","race_nhpi_amind","race_asian","race_other","race_twoplus","race_hispanic","foreign_born","has_health_insurance","homeless_count_year","homeless_count_age_25_54","homeless_count_age_55_plus","homeless_count_age_unknown","homeless_count_age_under_18","homeless_count_gender_nonconforming","homeless_count_hh_domestic_violence","homeless_count_location_shelter","homeless_count_location_publichotel","homeless_count_location_transitional","homeless_count_location_unsheltered","homeless_count_gender_male","homeless_count_chronic","homeless_count_total_adults","homeless_count_total_children","homeless_count_total_families","homeless_count_total_households","homeless_count_total_individuals","homeless_count_veterans","homeless_count_gender_transgender","homeless_count_gender_women","homeless_count_age_18_24"
"18","18","state","Indiana","Indiana",NA,NA,6691878,55746,13.1,6.1,7,8.9,15,68.9,89,27.1,95.6,78.7,9.4,0.2,2.3,0.2,2.1,7.1,5.3,91.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","19","state","Iowa","Iowa",NA,NA,3156145,59955,11.2,5.1,6.2,9.6,16.5,71.3,92.3,29,96.4,85.4,3.6,0.4,2.5,0.1,1.9,6.1,5.5,95.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","20","state","Kansas","Kansas",NA,NA,2911510,58218,12,5.1,6.9,7.3,11.9,66.2,91,33.8,96.2,75.6,5.6,0.8,2.8,0.1,3.1,12,7.2,91.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","21","state","Kentucky","Kentucky",NA,NA,4468402,50247,16.9,7.5,9.3,13.2,20.7,67.4,86.8,24.8,94.8,84.5,7.8,0.2,1.5,0.2,2.1,3.6,3.8,94.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","22","state","Louisiana","Louisiana",NA,NA,4659978,47905,18.6,8.1,10.5,15,24,65.5,85.8,24.3,93.6,58.4,32.2,0.5,1.6,0.2,1.9,5.1,4.2,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","23","state","Maine","Maine",NA,NA,1338404,55602,11.6,4.6,7,12.9,18.9,71.2,93,31.5,96.5,93,1.4,0.6,1.1,0.1,2,1.7,3.5,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","24","state","Maryland","Maryland",NA,NA,6042718,83242,9,4.4,4.5,9.4,14.2,66.9,90.5,40.8,95.1,50.2,29.5,0.2,6.2,0.4,2.8,10.4,15.1,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","25","state","Massachusetts","Massachusetts",NA,NA,6902149,79835,10,4.6,5.3,11.5,15.1,61.8,90.8,44.5,95.2,70.7,7,0.2,6.8,0.8,2,12.3,17.4,97.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","26","state","Michigan","Michigan",NA,NA,9995915,56697,14.1,6.5,7.6,12.6,19.1,71.2,91.1,29.6,94.7,74.8,13.6,0.5,3.2,0.1,2.4,5.2,7,94.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","27","state","Minnesota","Minnesota",NA,NA,5611179,70315,9.6,4.2,5.4,7.3,11.5,71.5,93.4,36.7,96.6,79.4,6.5,1,4.8,0.1,2.6,5.5,8.6,95.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","28","state","Mississippi","Mississippi",NA,NA,2986530,44717,19.7,9.2,10.5,14.8,24.9,68.2,85.4,23.2,92.9,56.4,37.8,0.5,0.9,0.1,1.3,2.9,2.4,87.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","29","state","Missouri","Missouri",NA,NA,6126452,54478,13.2,5.7,7.6,10.7,17.9,66.8,90.5,29.5,95.8,79.3,11.4,0.5,2,0.2,2.5,4.1,4.2,90.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","30","state","Montana","Montana",NA,NA,1062305,55328,13,5.4,7.6,8.9,15.9,67.5,93.9,31.7,96.5,85.9,0.5,6.2,0.8,0.1,2.5,3.9,2.2,91.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","31","state","Nebraska","Nebraska",NA,NA,1929268,59566,11,4.5,6.5,8.4,15.2,66.1,91.4,32.4,96.5,78.5,4.6,0.8,2.4,0.1,2.4,11.1,7.2,91.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","32","state","Nevada","Nevada",NA,NA,3034392,58646,12.9,5.8,7.1,11.2,18.3,56.8,86.9,24.9,94.4,48.4,8.8,1.6,8.1,0.4,3.6,29,19.4,88.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","33","state","New Hampshire","New Hampshire",NA,NA,1356458,74991,7.6,3.8,3.9,6.7,11.4,71.3,93.1,36.8,96.4,89.8,1.4,0.3,2.6,0.1,1.8,3.9,6.1,94.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
