"geoid","geography","name","short_name","latitude","longitude","foreign_born"
"1","us","United States","United States",NA,NA,13.7
"50","state_vt","Vermont","Vermont",NA,NA,4.9
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,4.6
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,3.2
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,2.2
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,73.070525,9
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,3.5
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,2.8
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,4.2
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,3.1
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,2.1
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,4.2
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,2.5
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,2.8
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,3.5
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,3.3
