geoid,geography,short_name,county,poverty_rate_total,poverty_rate_deep,poverty_rate_notdeep,child_poverty_rate_total,child_poverty_rate_deep,child_poverty_rate_notdeep
5002137685,county subdivision,Killington , Rutland County,4.8,3,1.7,5.5,3.7,1.8
5000148700,county subdivision,New Haven , Addison County,4.7,2.7,2,8.2,6.3,1.9
5000734600,county subdivision,Huntington , Chittenden County,4.7,2.1,2.5,7,5.6,1.4
5000183275,county subdivision,Weybridge , Addison County,4.6,3.5,1.2,,,
5002540225,county subdivision,Londonderry , Windham County,4.5,,4.5,7.9,,7.9
5000764300,county subdivision,Shelburne , Chittenden County,4.3,1.8,2.6,2.9,1.2,1.8
5002570750,county subdivision,Stratton , Windham County,4.3,0.9,3.5,9.5,,9.5
5002752900,county subdivision,Norwich , Windsor County,4.3,1.5,2.8,2.9,1.6,1.3
5002509475,county subdivision,Brookline , Windham County,4.1,3.6,0.5,2.9,2.9,
5002321925,county subdivision,East Montpelier , Washington County,4,1.5,2.4,2.7,0.9,1.8
5002375325,county subdivision,Waitsfield , Washington County,4,0.3,3.7,7.4,,7.4
5000759275,county subdivision,Richmond , Chittenden County,3.8,0.6,3.2,1.7,,1.7
5002157250,county subdivision,Proctor , Rutland County,3.8,0.3,3.5,,,
5002702725,county subdivision,Barnard , Windsor County,3.8,3.8,,,,
5002182300,county subdivision,West Rutland , Rutland County,3.7,0.9,2.8,3.2,,3.2
5000577125,county subdivision,Waterford , Caledonia County,3.6,0.7,2.9,5,2.2,2.8
5002732425,county subdivision,Hartland , Windsor County,3.6,1.2,2.3,,,
5000371425,county subdivision,Sunderland , Bennington County,3.5,1.3,2.2,,,
5000952750,county subdivision,Norton , Essex County,3.5,2.8,0.7,,,
5002144125,county subdivision,Mendon , Rutland County,3.5,1.1,2.4,,,
5000930775,county subdivision,Guildhall , Essex County,3.4,1,2.4,,,
5000100325,county subdivision,Addison , Addison County,3.3,0.5,2.8,,,
5000706550,county subdivision,Bolton , Chittenden County,3.3,0.2,3,1.6,,1.6
