Title,Adults,Working,Children, Food , Child Care , Medical , Housing , Transportation , Other , Required annual income after taxes , Annual taxes , Required annual income before taxes , Poverty Wage , Difference between Livable and Poverty Wage , Minimum Wage Annual Salary , Difference Between Livable and Minimum Wage , Notes 
A family with 2 adults and 0 children would require $40670 to earn a living wage. Working at minimum wage would leave a gap of $18247.6. A family at the poverty level would need an additional $23759.6 to have the income required for a living wage.,2 adults,1 Working Full-Time,0 children,6408,0,5464,10296,7602,4818,34588,6082,40670,16910.4,23759.6,22422.4,18247.6,
A family with 2 adults and 1 child would require $49325 to earn a living wage. Working at minimum wage would leave a gap of $26902.6. A family at the poverty level would need an additional $28005 to have the income required for a living wage.,2 adults,1 Working Full-Time,1 child,7987,0,7033,12072,9644,5003,41738,7586,49325,21320,28005,22422.4,26902.6,
A family with 2 adults and 2 children would require $54866 to earn a living wage. Working at minimum wage would leave a gap of $32443.6. A family at the poverty level would need an additional $29115.6 to have the income required for a living wage.,2 adults,1 Working Full-Time,2 children,10303,0,7153,12072,10506,6293,46328,8539,54866,25750.4,29115.6,22422.4,32443.6,
A family with 2 adults and 3 children would require $61853 to earn a living wage. Working at minimum wage would leave a gap of $39430.6. A family at the poverty level would need an additional $31693 to have the income required for a living wage.,2 adults,1 Working Full-Time,3 children,12545,0,7055,15144,11013,6296,52052,9800,61853,30160,31693,22422.4,39430.6,
